filename,true_label,predicted_tier,score
real_angry_01.wav,distress,HIGH,0.6531805348750727
real_angry_02.wav,distress,HIGH,0.7185313665283323
real_angry_03.wav,distress,LOW,0.3336572210612941
real_angry_04.wav,distress,LOW,0.3076996198746896
real_angry_05.wav,distress,MEDIUM,0.5971048859822568
real_angry_06.wav,distress,LOW,0.23363502912223247
real_fearful_01.wav,distress,MEDIUM,0.47776517159402815
real_fearful_02.wav,distress,HIGH,0.704730464443561
real_fearful_03.wav,distress,HIGH,0.6897958547994459
real_fearful_04.wav,distress,LOW,0.10307771136983948
real_fearful_05.wav,distress,LOW,0.33219969097099744
real_fearful_06.wav,distress,LOW,0.13829133689403197
real_help_shout_01.wav,distress,HIGH,0.7
real_help_shout_02.wav,distress,HIGH,0.7154616717496985
real_scream_01.wav,distress,HIGH,0.7677226452829341
real_stopit_shout_01.wav,distress,MEDIUM,0.35
synthetic_help_shout_01.wav,distress,HIGH,0.7287234678336002
synthetic_help_shout_02.wav,distress,HIGH,0.7796787321875764
synthetic_sobbing_01.wav,distress,HIGH,0.6132326188993054
real_calm_01.wav,normal,LOW,0.12971987418047543
real_calm_02.wav,normal,LOW,0.3097433694011829
real_calm_03.wav,normal,LOW,0.13324484914180063
real_calm_04.wav,normal,LOW,0.1323047265783329
real_calm_05.wav,normal,LOW,0.021739789349956993
real_calm_06.wav,normal,LOW,0.0
real_calm_07.wav,normal,LOW,0.0
real_calm_08.wav,normal,MEDIUM,0.4887830305249571
real_calm_09.wav,normal,LOW,0.10046928638267501
real_happy_01.wav,normal,HIGH,0.7107811685656666
real_neutral_01.wav,normal,LOW,0.13950554110348592
real_neutral_02.wav,normal,LOW,0.17768694180642058
real_neutral_03.wav,normal,LOW,0.0146515549346775
real_neutral_04.wav,normal,LOW,0.15749058666684743
real_neutral_05.wav,normal,LOW,0.07522558646367981
